Category,Title,Writer,Book_made,Sell_price,Image_uri
독일소설,데미안,헤르만 헤세,미래지식,"7,200",http://image.kyobobook.co.kr/images/book/large/344/l9791191349344.jpg
독일소설,그림형제 동화전집(완역본),그림 형제,아서 래컴,"27,000",http://image.kyobobook.co.kr/images/book/large/311/l9791195329311.jpg
독일소설,마의 산(상),토마스 만,을유문화사,"13,500",http://image.kyobobook.co.kr/images/book/large/311/l9788932403311.jpg
독일소설,변신,프란츠 카프카,열린책들,"8,820",http://image.kyobobook.co.kr/images/book/large/240/l9788932909240.jpg
독일소설,서부 전선 이상 없다,에리히 마리아 레마르크,열린책들,"10,620",http://image.kyobobook.co.kr/images/book/large/844/l9788932909844.jpg
독일소설,비둘기,파트리크 쥐스킨트,열린책들,"11,520",http://image.kyobobook.co.kr/images/book/large/245/l9788932920245.jpg
독일소설,페터 카멘친트,헤르만 헤세,민음사,"7,920",http://image.kyobobook.co.kr/images/book/large/149/l9788937429149.jpg
독일소설,법 앞에서,프란츠 카프카,민음사,"7,020",http://image.kyobobook.co.kr/images/book/large/248/l9788937429248.jpg
독일소설,이탈리아 기행 1,요한 볼프강 폰 괴테,민음사,"10,800",http://image.kyobobook.co.kr/images/book/large/057/l9788937461057.jpg
독일소설,사랑할 때와 죽을 때,에리히 마리아 레마르크,민음사,"12,150",http://image.kyobobook.co.kr/images/book/large/467/l9788937462467.jpg
독일소설,유리알 유희. 1,헤르만 헤세,민음사,"11,700",http://image.kyobobook.co.kr/images/book/large/733/l9788937462733.jpg
독일소설,파우스트. 1,요한 볼프강 폰 괴테,문학동네,"9,450",http://image.kyobobook.co.kr/images/book/large/104/l9788954609104.jpg
독일소설,브릿마리 여기 있다,프레드릭 배크만,다산책방,"13,320",http://image.kyobobook.co.kr/images/book/large/375/l9791130610375.jpg
독일소설,꿈(리커버),프란츠 카프카,워크룸프레스,"14,400",http://image.kyobobook.co.kr/images/book/large/583/l9791189356583.jpg
독일소설,마의 산. 하,토마스 만,을유문화사,"13,500",http://image.kyobobook.co.kr/images/book/large/328/l9788932403328.jpg
독일소설,아우스터리츠,W. G. 제발트,을유문화사,"10,800",http://image.kyobobook.co.kr/images/book/large/496/l9788932403496.jpg
독일소설,파우스트,요한 볼프강 폰 괴테,열린책들,"11,520",http://image.kyobobook.co.kr/images/book/large/905/l9788932909905.jpg
독일소설,향수,파트리크 쥐스킨트,열린책들,"11,520",http://image.kyobobook.co.kr/images/book/large/998/l9788932909998.jpg
독일소설,어느 작가의 오후,페터 한트케,열린책들,"7,920",http://image.kyobobook.co.kr/images/book/large/229/l9788932911229.jpg
독일소설,콘트라바스,파트리크 쥐스킨트,열린책들,"11,520",http://image.kyobobook.co.kr/images/book/large/252/l9788932920252.jpg
독일소설,양철북. 1,귄터 그라스,민음사,"10,800",http://image.kyobobook.co.kr/images/book/large/326/l9788937460326.jpg
