Category,Title,Writer,Book_made,Sell_price,Image_uri
영미소설,위대한 개츠비,F. 스콧 피츠제럴드,민음사,"7,200",http://image.kyobobook.co.kr/images/book/large/753/l9788937460753.jpg
영미소설,케이크와 맥주,서머싯 몸,민음사,"11,700",http://image.kyobobook.co.kr/images/book/large/945/l9788937463945.jpg
영미소설,메이든스,알렉스 마이클리디스,해냄출판사,"15,120",http://image.kyobobook.co.kr/images/book/large/128/l9791167140128.jpg
영미소설,파리대왕,윌리엄 골딩,민음사,"7,650",http://image.kyobobook.co.kr/images/book/large/197/l9788937460197.jpg
영미소설,폭풍의 언덕,에밀리 브론테,민음사,"9,900",http://image.kyobobook.co.kr/images/book/large/187/l9788937461187.jpg
영미소설,반지의 제왕 1-3권+호빗 세트,존 로널드 루엘 톨킨,아르테(arte),"148,500",http://image.kyobobook.co.kr/images/book/large/283/l9788950993283.jpg
영미소설,연을 쫓는 아이,할레드 호세이니,현대문학,"12,150",http://image.kyobobook.co.kr/images/book/large/824/l9788972754824.jpg
영미소설,콜 미 바이 유어 네임,안드레 애치먼,잔,"12,420",http://image.kyobobook.co.kr/images/book/large/016/l9791190234016.jpg
영미소설,당신 인생의 이야기,테드 창,엘리,"14,400",http://image.kyobobook.co.kr/images/book/large/806/l9791196914806.jpg
영미소설,스노 크래시. 1,닐 스티븐슨,문학세계사,"13,500",http://image.kyobobook.co.kr/images/book/large/019/l9788970750019.jpg
영미소설,해리 포터와 아즈카반의 죄수. 2(해리포터 20주년 개정판),J. K. 롤링,문학수첩,"8,550",http://image.kyobobook.co.kr/images/book/large/675/l9788983927675.jpg
영미소설,듄. 2: 듄의 메시아(DUNE MESSIAH),프랭크 허버트,황금가지,"13,500",http://image.kyobobook.co.kr/images/book/large/551/l9791158887551.jpg
영미소설,호밀밭의 파수꾼,J. D. 샐린저,문예출판사,"7,200",http://image.kyobobook.co.kr/images/book/large/529/l9788931003529.jpg
영미소설,빨강 머리 앤(Anne of Green Gables),Lucy Maud Montgomery,더모던,"15,120",http://image.kyobobook.co.kr/images/book/large/036/l9791164451036.jpg
영미소설,셰익스피어 4대 비극 세트,윌리엄 셰익스피어,민음사,"20,520",http://image.kyobobook.co.kr/images/book/large/111/l9788937486111.jpg
영미소설,가재가 노래하는 곳,델리아 오언스,살림,"14,400",http://image.kyobobook.co.kr/images/book/large/569/l9788952240569.jpg
영미소설,천 개의 찬란한 태양,할레드 호세이니,현대문학,"12,150",http://image.kyobobook.co.kr/images/book/large/015/l9788972754015.jpg
영미소설,애거서 크리스티 에디터스 초이스 세트,애거서 크리스티,황금가지,"72,000",http://image.kyobobook.co.kr/images/book/large/082/l9788982731082.jpg
영미소설,해리 포터와 아즈카반의 죄수. 1(해리포터 20주년 개정판),J. K. 롤링,문학수첩,"8,550",http://image.kyobobook.co.kr/images/book/large/668/l9788983927668.jpg
영미소설,해리 포터와 불의 잔. 1(해리포터 20주년 개정판),J. K. 롤링,문학수첩,"8,550",http://image.kyobobook.co.kr/images/book/large/682/l9788983927682.jpg
영미소설,해리 포터와 불의 잔. 1(해리포터 20주년 개정판),J. K. 롤링,문학수첩,"18,900",http://image.kyobobook.co.kr/images/book/large/774/l9788983927774.jpg
