Category,Title,Writer,Book_made,Sell_price,Image_uri
일본소설,던전에서 만남을 추구하면 안 되는 걸까. 16,오모리 후지노,야스다 스즈히토,"8,100",http://image.kyobobook.co.kr/images/book/large/260/l9791166113260.jpg
일본소설,어서 오세요 실력지상주의 교실에: 2학년 편. 1,키누가사 쇼고,토모세 순사쿠,"6,750",http://image.kyobobook.co.kr/images/book/large/564/l9791166114564.jpg
일본소설,던전에서 만남을 추구하면 안 되는 걸까. 17,오모리 후지노,야스다 스즈히토,"8,100",http://image.kyobobook.co.kr/images/book/large/651/l9791166119651.jpg
일본소설,Re:제로부터 시작하는 이세계 생활. 25,나가츠키 탓페이,오츠카 신이치로,"7,020",http://image.kyobobook.co.kr/images/book/large/524/l9791166259524.jpg
일본소설,인간 의자,에도가와 란포,북노마드,"9,000",http://image.kyobobook.co.kr/images/book/large/683/l9791186561683.jpg
일본소설,인간실격,다자이 오사무,성림원북스,"8,820",http://image.kyobobook.co.kr/images/book/large/378/l9791188762378.jpg
일본소설,심야의 손님,오쿠라 데루코,위북,"13,500",http://image.kyobobook.co.kr/images/book/large/051/l9791191618051.jpg
일본소설,목요일의 아이,시게마쓰 기요시,크로스로드,"14,400",http://image.kyobobook.co.kr/images/book/large/034/l9791191718034.jpg
일본소설,아름다운 흉기,히가시노 게이고,알에이치코리아,"13,320",http://image.kyobobook.co.kr/images/book/large/206/l9788925563206.jpg
일본소설,역시 내 청춘 러브코메디는 잘못됐다. 2,와타리 와타루,풍칸8,"5,850",http://image.kyobobook.co.kr/images/book/large/251/l9788926793251.jpg
일본소설,이 멋진 세계에 축복을!. 1,아카츠키 나츠메,미시마 쿠로네,"6,120",http://image.kyobobook.co.kr/images/book/large/796/l9788926799796.jpg
일본소설,도련님,나쓰메 소세키,현암사,"10,800",http://image.kyobobook.co.kr/images/book/large/765/l9788932316765.jpg
일본소설,풀베개,나쓰메 소세키,현암사,"10,800",http://image.kyobobook.co.kr/images/book/large/772/l9788932316772.jpg
